,...1,DET,Date,Temp(F),species,site,column,row,BlockNum,hole_diameter,size
110,141,OP,5/21/2024,81,O. cornifrons,2,1,5,Block 2,7.9,5
19,20,OP,5/1/2024,68,O. georgica,2,1,2,Block 1,4.8,2
111,142,OP,5/21/2024,81,O. georgica,2,2,2,Block 1,4.8,2
60,71,OP,5/7/2024,68,O. georgica,2,5,2,Block 1,4.8,2
113,145,OP,5/21/2024,81,O. georgica,2,6,2,Block 1,4.8,2
59,70,OP,5/7/2024,68,O. georgica,2,7,2,Block 1,4.8,2
58,68,OP,5/7/2024,68,O. georgica,2,8,2,Block 1,4.8,2
21,22,OP,5/1/2024,68,O. georgica,2,9,2,Block 1,4.8,2
20,21,OP,5/1/2024,68,O. georgica,2,10,14,Block 5,4.8,2
112,143,OP,5/21/2024,81,O. georgica,2,10,3,Block 1,6,3
61,72,OP,5/7/2024,68,O. cornifrons,3,1,3,Block 1,6,3
23,24,OP,5/6/2023,70,O. cornifrons,3,5,5,Block 2,7.9,5
22,23,OP,5/6/2023,70,O. cornifrons,3,8,5,Block 2,7.9,5
114,146,OP,5/24/2024,81,O. cornifrons,4,10,17,Block 6,7.9,5
116,149,OP,5/31/2024,81,O. georgica,4,8,2,Block 1,4.8,2
117,150,OP,5/31/2024,81,O. georgica,4,9,2,Block 1,4.8,2
118,151,OP,5/31/2024,81,O. georgica,4,10,2,Block 1,4.8,2
80,100,OP,5/8/2024,76,O. cornifrons,5,5,2,Block 1,4.8,2
38,45,OP,5/6/2023,70,O. cornifrons,5,1,9,Block 3,6,3
39,46,OP,5/6/2023,70,O. cornifrons,5,2,9,Block 3,6,3
2,2,OP,4/25/2024,54,O. cornifrons,5,3,9,Block 3,6,3
35,40,OP,5/6/2023,70,O. cornifrons,5,4,9,Block 3,6,3
1,1,OP,4/25/2024,54,O. cornifrons,5,5,3,Block 1,6,3
71,89,OP,5/8/2024,76,O. cornifrons,5,5,9,Block 3,6,3
5,5,OP,4/25/2024,54,O. cornifrons,5,6,3,Block 1,6,3
34,38,OP,5/6/2023,70,O. cornifrons,5,6,9,Block 3,6,3
67,84,OP,5/8/2024,76,O. cornifrons,5,7,9,Block 3,6,3
27,29,OP,5/6/2023,70,O. cornifrons,5,8,9,Block 3,6,3
26,28,OP,5/6/2023,70,O. cornifrons,5,9,9,Block 3,6,3
105,135,OP,5/20/2024,81,O. cornifrons,5,10,3,Block 1,6,3
